tv,radio,newspaper,sales
0.775786,0.762097,0.605981,0.807087
0.148123,0.792339,0.394019,0.346457
0.055800,0.925403,0.606860,0.303150
0.509976,0.832661,0.511873,0.665354
0.609063,0.217742,0.510994,0.444882
0.027054,0.985887,0.656992,0.220472
0.192087,0.661290,0.204046,0.401575
0.404126,0.395161,0.099384,0.456693
0.026716,0.042339,0.006157,0.125984
0.673318,0.052419,0.183817,0.354331
0.221170,0.116935,0.210202,0.275591
0.723706,0.483871,0.032542,0.622047
0.078120,0.707661,0.576957,0.299213
0.327359,0.153226,0.060686,0.318898
0.687859,0.663306,0.401935,0.685039
0.658438,0.961694,0.462621,0.818898
0.226919,0.737903,1.000000,0.429134
0.949273,0.798387,0.488127,0.897638
0.231654,0.413306,0.158311,0.381890
0.495773,0.481855,0.165347,0.511811
0.736219,0.558468,0.467018,0.645669
0.800473,0.102823,0.204046,0.429134
0.042273,0.320565,0.433597,0.157480
0.769699,0.340726,0.227792,0.547244
0.208319,0.254032,0.158311,0.318898
0.886710,0.070565,0.168865,0.409449
0.480893,0.590726,0.108179,0.527559
0.809604,0.336694,0.198769,0.562992
0.839026,0.546371,0.198769,0.681102
0.236388,0.322581,0.356201,0.350394
0.988164,0.570565,0.377309,0.779528
0.379439,0.350806,0.336851,0.405512
0.326344,0.030242,0.261214,0.314961
0.895840,0.403226,0.000000,0.622047
0.321272,0.028226,0.062445,0.311024
0.980724,0.082661,0.072120,0.440945
0.900237,0.883065,0.041337,0.937008
0.250254,0.995968,0.399296,0.515748
0.143389,0.538306,0.306069,0.334646
0.768684,0.760081,0.278804,0.783465
0.682448,0.449597,0.275286,0.590551
0.596212,0.673387,0.337731,0.610236
0.990531,0.558468,0.013193,0.751969
0.697328,0.169355,0.229551,0.444882
0.082516,0.518145,0.378188,0.271654
0.589787,0.453629,0.274406,0.523622
0.300981,0.199597,0.311346,0.354331
0.808928,0.836694,0.160070,0.850394
0.765979,0.318548,0.436236,0.519685
0.223876,0.235887,0.321020,0.318898
0.673318,0.062500,0.301671,0.385827
0.337166,0.193548,0.029024,0.358268
0.729456,0.840726,0.345646,0.826772
0.615150,0.931452,0.513632,0.771654
0.886033,0.580645,0.137203,0.732283
0.670274,0.995968,0.525066,0.870079
0.022320,0.566532,0.361478,0.153543
0.458235,0.387097,0.143360,0.456693
0.710517,1.000000,0.328936,0.874016
0.710179,0.594758,0.079156,0.661417
0.178559,0.040323,0.185576,0.255906
0.881299,0.860887,0.478452,0.889764
0.806899,0.312500,0.237467,0.555118
0.344944,0.596774,0.071240,0.488189
0.440987,0.862903,0.251539,0.645669
0.230977,0.187500,0.005277,0.303150
0.104160,0.495968,0.016711,0.311024
0.468718,0.292339,0.087071,0.464567
0.800473,0.554435,0.094107,0.681102
0.730808,0.885081,0.236588,0.814961
0.670950,0.616935,0.337731,0.657480
0.368955,0.288306,0.276165,0.425197
0.088265,0.665323,0.167106,0.283465
0.435238,0.114919,0.272647,0.370079
0.719310,0.495968,0.112577,0.606299
0.054785,0.881048,0.783641,0.279528
0.090632,0.032258,0.179420,0.208661
0.405140,0.574597,0.122252,0.496063
0.015894,0.602823,0.080035,0.145669
0.389922,0.155242,0.200528,0.370079
0.256003,0.538306,0.193492,0.401575
0.808590,0.082661,0.321900,0.421260
0.252283,0.409274,0.283201,0.381890
0.228948,0.897177,0.310466,0.472441
0.719648,0.866935,0.294635,0.791339
0.650998,0.370968,0.575198,0.535433
