Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmolKg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
1,1,054.0 056.0,19-4903CR-HY-060-0930-05400560-0000A-3,0,10.500000,33.440000,,25.649000,,,,3,1,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,10.500000,10.500000,33.440000,25.640000,233.000000,0.000000,,,,,,,,,,0,,,,,,,,
1,2,054.0 056.0,19-4903CR-HY-060-0930-05400560-0008A-3,8,10.460000,33.440000,,25.656000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,8.000000,10.460000,10.460000,33.440000,25.650000,232.500000,0.010000,,,,,,,,,,8,,,,,,,,
1,3,054.0 056.0,19-4903CR-HY-060-0930-05400560-0010A-7,10,10.460000,33.437000,,25.654000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.000000,10.460000,10.460000,33.437000,25.650000,232.800000,0.020000,,,,,,,,,,10,,,,,,,,
1,4,054.0 056.0,19-4903CR-HY-060-0930-05400560-0019A-3,19,10.450000,33.420000,,25.643000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,19.000000,10.450000,10.450000,33.420000,25.640000,234.100000,0.040000,,,,,,,,,,19,,,,,,,,
1,5,054.0 056.0,19-4903CR-HY-060-0930-05400560-0020A-7,20,10.450000,33.421000,,25.643000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.000000,10.450000,10.450000,33.421000,25.640000,234.000000,0.040000,,,,,,,,,,20,,,,,,,,
1,6,054.0 056.0,19-4903CR-HY-060-0930-05400560-0030A-7,30,10.450000,33.431000,,25.651000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.000000,10.450000,10.450000,33.431000,25.650000,233.500000,0.070000,,,,,,,,,,30,,,,,,,,
1,7,054.0 056.0,19-4903CR-HY-060-0930-05400560-0039A-3,39,10.450000,33.440000,,25.658000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,39.000000,10.450000,10.450000,33.440000,25.650000,233.000000,0.090000,,,,,,,,,,39,,,,,,,,
1,8,054.0 056.0,19-4903CR-HY-060-0930-05400560-0050A-7,50,10.240000,33.424000,,25.682000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.000000,10.240000,10.230000,33.424000,25.680000,231.000000,0.110000,,,,,,,,,,50,,,,,,,,
1,9,054.0 056.0,19-4903CR-HY-060-0930-05400560-0058A-3,58,10.060000,33.420000,,25.710000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,58.000000,10.060000,10.050000,33.420000,25.710000,228.500000,0.130000,,,,,,,,,,58,,,,,,,,
1,10,054.0 056.0,19-4903CR-HY-060-0930-05400560-0075A-7,75,9.860000,33.494000,,25.801000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.000000,9.860000,9.850000,33.494000,25.800000,220.100000,0.170000,,,,,,,,,,75,,,,,,,,
1,11,054.0 056.0,19-4903CR-HY-060-0930-05400560-0078A-3,78,9.830000,33.510000,,25.819000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,78.000000,9.830000,9.820000,33.510000,25.810000,218.600000,0.180000,,,,,,,,,,78,,,,,,,,
1,12,054.0 056.0,19-4903CR-HY-060-0930-05400560-0100A-7,100,9.670000,33.580000,,25.900000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.000000,9.670000,9.660000,33.580000,25.900000,211.200000,0.220000,,,,,,,,,,101,,,,,,,,
1,13,054.0 056.0,19-4903CR-HY-060-0930-05400560-0117A-3,117,9.500000,33.640000,,25.975000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,117.000000,9.500000,9.490000,33.640000,25.970000,204.500000,0.260000,,,,,,,,,,118,,,,,,,,
1,14,054.0 056.0,19-4903CR-HY-060-0930-05400560-0125A-7,125,9.320000,33.689000,,26.043000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.000000,9.320000,9.310000,33.689000,26.040000,198.200000,0.270000,,,,,,,,,,126,,,,,,,,
1,15,054.0 056.0,19-4903CR-HY-060-0930-05400560-0150A-7,150,8.760000,33.847000,,26.256000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.000000,8.760000,8.740000,33.847000,26.250000,178.300000,0.320000,,,,,,,,,,151,,,,,,,,
1,16,054.0 056.0,19-4903CR-HY-060-0930-05400560-0152A-3,152,8.710000,33.860000,,26.274000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,152.000000,8.710000,8.690000,33.860000,26.270000,176.700000,0.320000,,,,,,,,,,153,,,,,,,,
1,17,054.0 056.0,19-4903CR-HY-060-0930-05400560-0200A-7,200,8.530000,33.876000,,26.315000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200.000000,8.530000,8.510000,33.876000,26.310000,173.600000,0.410000,,,,,,,,,,201,,,,,,,,
1,18,054.0 056.0,19-4903CR-HY-060-0930-05400560-0221A-3,221,8.450000,NaN,,NaN,,,,3,2,NaN,NaN,9,9,9,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,221.000000,8.450000,8.430000,NaN,NaN,NaN,0.440000,,,,,,,,,,222,,,,,,,,
1,19,054.0 056.0,19-4903CR-HY-060-0930-05400560-0250A-7,250,8.260000,33.926000,,26.396000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,250.000000,8.260000,8.230000,33.926000,26.390000,166.800000,0.490000,,,,,,,,,,252,,,,,,,,
1,20,054.0 056.0,19-4903CR-HY-060-0930-05400560-0285A-3,285,7.960000,33.980000,,26.483000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,285.000000,7.960000,7.930000,33.980000,26.480000,158.900000,0.550000,,,,,,,,,,287,,,,,,,,
1,21,054.0 056.0,19-4903CR-HY-060-0930-05400560-0300A-7,300,7.770000,33.990000,,26.519000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,300.000000,7.770000,7.740000,33.990000,26.510000,155.700000,0.570000,,,,,,,,,,302,,,,,,,,
1,22,054.0 056.0,19-4903CR-HY-060-0930-05400560-0373A-3,373,6.800000,34.040000,,26.695000,,,,3,2,NaN,2,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,373.000000,6.800000,6.770000,34.040000,26.690000,139.600000,0.680000,,,,,,,,,,376,,,,,,,,
1,23,054.0 056.0,19-4903CR-HY-060-0930-05400560-0400A-7,400,6.550000,34.056000,,26.741000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,400.000000,6.550000,6.510000,34.056000,26.740000,135.400000,0.720000,,,,,,,,,,403,,,,,,,,
1,24,054.0 056.0,19-4903CR-HY-060-0930-05400560-0500A-7,500,5.780000,34.113000,,26.885000,,,,7,2,NaN,3,NaN,9,9,NaN,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,500.000000,5.780000,5.740000,34.113000,26.880000,122.400000,0.850000,,,,,,,,,,504,,,,,,,,
