Vent,O2,CO2
-49,19,0.000000
0,19,0.000000
-98,19,0.000000
148,19,0.000000
49,19,0.000000
49,19,0.000000
-24,19,3.000000
25,19,3.000000
-123,19,3.000000
222,19,3.000000
123,19,3.000000
74,19,3.000000
11,19,4.500000
60,19,4.500000
-88,19,4.500000
306,19,4.500000
158,19,4.500000
158,19,4.500000
56,19,6.000000
105,19,6.000000
-141,19,6.000000
400,19,6.000000
253,19,6.000000
203,19,6.000000
146,19,9.000000
244,19,9.000000
-51,19,9.000000
687,19,9.000000
441,19,9.000000
392,19,9.000000
61,17,0.000000
61,17,0.000000
160,17,0.000000
12,17,0.000000
-86,17,0.000000
-37,17,0.000000
-11,17,3.000000
136,17,3.000000
-110,17,3.000000
235,17,3.000000
87,17,3.000000
38,17,3.000000
169,17,4.500000
317,17,4.500000
22,17,4.500000
71,17,4.500000
169,17,4.500000
-77,17,4.500000
413,17,6.000000
-128,17,6.000000
266,17,6.000000
118,17,6.000000
69,17,6.000000
216,17,6.000000
-46,17,9.000000
446,17,9.000000
397,17,9.000000
249,17,9.000000
692,17,9.000000
151,17,9.000000
73,15,0.000000
-74,15,0.000000
172,15,0.000000
-25,15,0.000000
73,15,0.000000
24,15,0.000000
-98,15,3.000000
148,15,3.000000
99,15,3.000000
247,15,3.000000
50,15,3.000000
1,15,3.000000
180,15,4.500000
180,15,4.500000
33,15,4.500000
-66,15,4.500000
82,15,4.500000
328,15,4.500000
574,15,6.000000
131,15,6.000000
328,15,6.000000
279,15,6.000000
33,15,6.000000
-164,15,6.000000
8,15,9.000000
205,15,9.000000
549,15,9.000000
254,15,9.000000
402,15,9.000000
352,15,9.000000
183,13,0.000000
-63,13,0.000000
-14,13,0.000000
84,13,0.000000
84,13,0.000000
35,13,0.000000
